08/03/2025;7839;943,85;;;;03.01.01;1;22/04/2025;013041;001/2023;0102105E;0100;0;550.712.000.085.393;04/04/2025;470;00;
16/03/2025;260729;13.786,20;;;;02.01.01;1;13/04/2025;008858;001/2023;0102105E;0100;0;040401;04/04/2025;393;00;
19/03/2025;193244;450,00;;;;03.01.02;1;18/04/2025;000347;001/2023;0102105E;0100;0;40.112;01/04/2025;109;00;
